"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.14807,0.008743,0,-0.0021838,1,0.277,0.5,0.277,1
-0.1485,0.0088356,0,-0.0022419,1,0.278,0.5,0.278,1
-0.14893,0.0089281,0,-0.0023001,1,0.279,0.5,0.279,1
-0.14937,0.0090207,0,-0.0023582,1,0.28,0.5,0.28,1
-0.1498,0.0091133,0,-0.0024164,1,0.281,0.5,0.281,1
-0.15023,0.0092058,0,-0.0024745,1,0.282,0.5,0.282,1
-0.15067,0.0092984,0,-0.0025327,1,0.283,0.5,0.283,1
-0.1511,0.0093909,0,-0.0025908,1,0.284,0.5,0.284,1
-0.15153,0.0094835,0,-0.0026489,1,0.285,0.5,0.285,1
-0.15197,0.0095761,0,-0.0027071,1,0.286,0.5,0.286,1
-0.1524,0.0096686,0,-0.0027652,1,0.287,0.5,0.287,1
-0.15283,0.0097612,0,-0.0028234,1,0.288,0.5,0.288,1
-0.15327,0.0098538,0,-0.0028815,1,0.289,0.5,0.289,1
-0.1537,0.0099463,0,-0.0029397,1,0.29,0.5,0.29,1
-0.15413,0.010039,0,-0.0029978,1,0.291,0.5,0.291,1
-0.15457,0.010131,0,-0.003056,1,0.292,0.5,0.292,1
-0.155,0.010224,0,-0.0031141,1,0.293,0.5,0.293,1
-0.15543,0.010317,0,-0.0031723,1,0.294,0.5,0.294,1
-0.15587,0.010409,0,-0.0032304,1,0.295,0.5,0.295,1
-0.1563,0.010502,0,-0.0032886,1,0.296,0.5,0.296,1
-0.15674,0.010594,0,-0.0033467,1,0.297,0.5,0.297,1
-0.15717,0.010687,0,-0.0034049,1,0.298,0.5,0.298,1
-0.1576,0.010779,0,-0.003463,1,0.299,0.5,0.299,1
-0.15804,0.010872,0,-0.0035212,1,0.3,0.5,0.3,1
-0.15841,0.011016,0,-0.0036096,1,0.301,0.5,0.301,1
-0.15879,0.011161,0,-0.0036979,1,0.302,0.5,0.302,1
-0.15917,0.011305,0,-0.0037863,1,0.303,0.5,0.303,1
-0.15955,0.01145,0,-0.0038747,1,0.304,0.5,0.304,1
-0.15993,0.011594,0,-0.0039631,1,0.305,0.5,0.305,1
-0.16031,0.011739,0,-0.0040514,1,0.306,0.5,0.306,1
-0.16069,0.011883,0,-0.0041398,1,0.307,0.5,0.307,1
